                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.29935,                0.44378,                0.19882,                0.90935,                0.98976,                 0.9651,                0.98058,                0.97436,                0.98865,                0.96401,                0.97997,                0.97083,                0.13206,                0.42377,                0.12083,                 0.9397,               0.004357,               0.004357,               0.004357
                     59,                0.29858,                 0.4642,                0.19987,                0.90507,                0.98552,                 0.9651,                0.97982,                0.97346,                0.98441,                0.96401,                0.97925,                0.97021,                0.12977,                0.43522,                0.11999,                0.93862,               0.004258,               0.004258,               0.004258
                     60,                0.29431,                0.44364,                0.19962,                0.90804,                0.98883,                0.96542,                0.98056,                0.97482,                0.98883,                0.96542,                0.98056,                0.97044,                0.13098,                0.41535,                0.11823,                0.94136,               0.004159,               0.004159,               0.004159
                     61,                 0.2937,                0.44447,                 0.1982,                0.90396,                0.98774,                0.96649,                 0.9804,                  0.974,                0.98774,                0.96649,                 0.9804,                0.97025,                 0.1329,                0.42343,                0.11758,                0.94128,                0.00406,                0.00406,                0.00406
                     62,                0.29215,                0.44326,                0.19493,                0.90076,                0.98655,                0.96619,                0.98032,                0.97443,                0.98655,                0.96619,                0.98032,                0.97055,                0.13189,                0.45711,                0.11682,                0.94447,               0.003961,               0.003961,               0.003961
                     63,                0.28982,                0.44756,                0.19454,                0.90606,                0.98993,                0.96494,                 0.9795,                 0.9738,                0.98993,                0.96494,                 0.9795,                0.97037,                0.12893,                0.45753,                0.11764,                0.93758,               0.003862,               0.003862,               0.003862
                     64,                0.29263,                0.43114,                0.19513,                 0.9035,                0.98962,                0.96292,                0.98022,                0.97454,                0.98962,                0.96292,                0.98022,                0.97126,                 0.1268,                0.44907,                0.11824,                0.93473,               0.003763,               0.003763,               0.003763
                     65,                0.28588,                0.43838,                0.19085,                0.90292,                0.98884,                0.96607,                0.97979,                 0.9735,                0.98884,                0.96607,                0.97979,                0.97071,                0.12741,                0.49393,                0.11655,                0.93915,               0.003664,               0.003664,               0.003664
                     66,                0.28777,                0.42723,                0.18971,                0.90396,                0.98904,                0.96401,                0.98028,                0.97504,                0.98904,                0.96401,                0.98028,                 0.9707,                0.12932,                0.45925,                 0.1178,                0.93831,               0.003565,               0.003565,               0.003565
                     67,                0.28447,                 0.4162,                0.19116,                 0.9026,                0.98992,                0.96388,                0.97899,                0.97361,                0.98992,                0.96388,                0.97899,                0.96991,                0.12624,                 0.4536,                0.11761,                 0.9369,               0.003466,               0.003466,               0.003466
                     68,                0.28676,                0.43632,                0.19126,                0.90214,                0.98994,                0.96572,                0.98066,                0.97559,                0.98994,                0.96572,                0.98066,                0.97148,                0.12888,                0.47963,                0.11502,                0.93794,               0.003367,               0.003367,               0.003367
                     69,                0.28859,                0.42857,                0.19381,                 0.9048,                0.98882,                0.96408,                0.98019,                  0.974,                0.98882,                0.96408,                0.98019,                0.97029,                0.12892,                0.45866,                0.11985,                0.93823,               0.003268,               0.003268,               0.003268
                     70,                 0.2833,                0.43283,                0.18561,                0.90173,                0.98909,                0.96183,                0.97877,                0.97309,                0.98909,                0.96183,                0.97877,                0.96974,                0.12796,                0.42976,                 0.1163,                 0.9374,               0.003169,               0.003169,               0.003169
                     71,                0.28329,                0.43958,                0.18662,                0.89946,                0.98922,                0.96183,                0.98051,                0.97496,                0.98922,                0.96183,                0.98051,                0.97143,                0.12572,                0.44347,                0.11112,                0.93652,                0.00307,                0.00307,                0.00307
                     72,                0.28413,                 0.4239,                0.18673,                0.90236,                0.98879,                0.96168,                0.98047,                0.97521,                0.98879,                0.96168,                0.98047,                0.97147,                0.12431,                0.46241,                 0.1136,                0.93732,               0.002971,               0.002971,               0.002971
                     73,                0.28088,                0.43108,                0.18505,                0.89759,                0.98963,                0.95965,                0.97886,                0.97383,                0.98963,                0.95965,                0.97886,                0.97018,                0.12665,                0.44478,                0.11557,                0.93463,               0.002872,               0.002872,               0.002872
                     74,                0.28152,                0.42482,                0.18589,                0.89961,                 0.9886,                0.96183,                0.97873,                0.97353,                 0.9886,                0.96183,                0.97873,                0.97002,                0.12643,                 0.4537,                0.11614,                0.93457,               0.002773,               0.002773,               0.002773
                     75,                0.28064,                 0.4262,                0.18732,                0.89816,                0.98936,                0.96292,                0.97985,                 0.9735,                0.98819,                0.96183,                0.97927,                0.97058,                0.12796,                0.45063,                0.11645,                0.93639,               0.002674,               0.002674,               0.002674
